ClientID,Years_In_Business,Annual_Revenue_INR_Cr,Loan_Outstanding_INR_Cr,Debt_to_Equity_Ratio,Interest_Coverage_Ratio,Current_Ratio,DPD_Instances_Last_12M,Credit_Rating_Score,New_Loan_Requests_Last_2Y,Collateral_Coverage_Pct,Business_Sector,Company_Size,Loan_Type,Repayment_Track,Geographic_Region
TAC015094,23.0,209.25,123.85,6.16,14.03,1.6,6.0,9.36,1,203.29,Retail,Medium,Working Capital,Excellent,North
TAC012699,6.39,517.88,308.63,6.72,,1.67,1.0,4.93,2,159.2,Manufacturing,Small,Working Capital,Satisfactory,North
TAC017059,32.66,3748.48,222.92,5.2,17.24,1.44,0.0,10.0,4,127.59,IT,Large,CC/OD,,West
TAC001644,21.01,3126.07,221.3,4.5,12.09,1.09,2.0,5.6,2,223.0,Manufacturing,Micro,Working Capital,Excellent,South
TAC005049,14.55,235.89,126.65,3.37,14.41,2.34,4.0,9.71,2,205.37,Retail,Micro,Term Loan,Excellent,East
TAC006036,1.0,538.37,136.82,6.31,9.84,1.35,8.0,9.0,0,217.52,Real Estate,Micro,Working Capital,Good,North
TAC006687,29.54,690.15,58.41,,2.98,2.36,0.0,4.71,4,50.0,Retail,Micro,Project Finance,Satisfactory,West
TAC011329,19.23,3829.87,206.52,,10.0,2.32,3.0,8.69,2,50.0,Manufacturing,Micro,Equipment Finance,Excellent,South
TAC001138,14.75,571.37,93.01,4.19,10.32,1.28,9.0,9.38,1,200.44,Manufacturing,Small,Term Loan,Watchlist,East
TAC000414,31.54,540.5,113.81,9.51,1.94,2.36,3.0,4.6,4,165.42,Services,Medium,Equipment Finance,Excellent,Central
TAC006015,3.76,126.98,179.02,7.94,9.73,2.92,12.0,9.54,3,277.51,Manufacturing,Medium,Working Capital,Watchlist,South
TAC007069,13.76,584.8,165.18,5.22,6.69,1.08,10.0,5.74,3,115.53,Real Estate,Medium,Equipment Finance,Good,Central
TAC014045,27.61,645.85,294.66,6.17,10.04,0.77,0.0,5.66,6,270.02,Services,Small,Working Capital,Excellent,North
TAC012956,1.0,273.84,195.08,5.17,8.5,1.72,6.0,9.99,1,107.11,Manufacturing,Micro,Working Capital,Good,Central
TAC015348,20.73,3646.35,256.57,1.37,9.99,3.02,,7.33,0,101.64,Retail,Small,Term Loan,Excellent,Central
TAC018522,32.19,1886.34,47.67,8.57,5.11,0.55,10.0,8.41,6,145.35,Manufacturing,Small,Working Capital,Good,North
TAC006853,28.77,622.62,71.8,7.56,8.81,3.25,5.0,5.54,1,239.29,Manufacturing,Micro,CC/OD,Good,North
TAC003611,38.46,2215.43,72.49,7.46,5.52,0.59,10.0,5.83,4,143.84,IT,Medium,Working Capital,Excellent,West
TAC012925,1.0,594.04,72.88,7.04,12.62,0.3,9.0,10.0,4,137.32,Services,Small,Term Loan,Excellent,North
TAC012934,9.15,316.16,222.62,5.72,1.48,1.35,1.0,3.62,2,204.64,Real Estate,Medium,Project Finance,Good,West
TAC017067,15.35,436.79,55.18,7.74,0.5,0.77,4.0,6.31,2,50.0,Services,Small,CC/OD,Satisfactory,East
TAC001743,6.17,241.38,87.6,2.67,9.2,1.42,8.0,7.87,4,178.62,Retail,Small,Term Loan,Good,South
TAC014488,6.11,3773.23,259.37,4.37,9.48,0.68,0.0,10.0,5,129.39,Services,Large,Working Capital,Excellent,South
TAC004255,13.41,589.62,119.66,7.13,5.32,3.41,9.0,8.89,7,124.78,Services,Large,CC/OD,Good,Central
TAC008313,1.0,700.54,127.17,6.42,7.08,0.69,9.0,9.29,4,97.17,Real Estate,Medium,Project Finance,Good,North
TAC014810,25.45,647.3,108.78,5.77,6.77,1.49,10.0,10.0,1,153.12,Real Estate,Medium,Project Finance,NPA,West
TAC010224,35.83,1954.0,56.3,6.11,5.03,1.0,8.0,6.57,2,97.67,Retail,Medium,Term Loan,Satisfactory,North
TAC001212,10.9,278.29,153.39,3.78,0.5,1.55,9.0,10.0,2,223.55,Retail,Large,CC/OD,NPA,North
TAC009378,14.98,3484.76,213.98,6.84,15.2,2.08,5.0,7.02,2,214.21,Manufacturing,Medium,Term Loan,NPA,West
TAC012299,31.93,299.49,0.1,8.13,3.09,2.5,2.0,5.71,0,167.89,Services,Small,Term Loan,Satisfactory,East
TAC008712,8.74,3272.01,257.79,3.13,14.92,1.28,2.0,5.83,0,50.0,Services,Micro,Term Loan,Watchlist,South
TAC000819,1.0,652.89,76.49,7.74,6.71,2.14,9.0,9.79,5,191.94,Real Estate,Micro,Equipment Finance,Watchlist,North
TAC014870,16.64,278.38,341.4,6.36,4.8,0.3,3.0,5.54,6,183.11,Healthcare,Large,Project Finance,Watchlist,Central
TAC004596,24.49,3018.8,236.68,7.26,16.65,1.13,1.0,4.86,4,50.0,Infrastructure,Micro,Working Capital,Excellent,East
TAC015926,23.38,412.49,113.31,6.34,,3.55,9.0,7.4,3,60.63,Real Estate,Large,Term Loan,Satisfactory,East
TAC016664,23.19,217.83,70.76,5.56,0.86,1.87,0.0,1.46,3,193.52,Healthcare,Large,CC/OD,Excellent,Central
TAC003444,2.08,673.85,134.83,5.41,5.59,2.37,5.0,9.91,6,130.72,Services,Large,Project Finance,Excellent,Central
TAC001310,29.24,3371.66,225.21,0.32,13.37,3.57,4.0,8.27,8,83.87,Retail,Micro,Term Loan,Satisfactory,South
TAC016811,1.0,451.98,152.33,4.11,0.95,1.33,10.0,8.25,1,183.54,IT,Medium,Working Capital,Good,Central
TAC011379,1.8,643.61,59.48,,12.47,3.13,11.0,10.0,5,211.82,Real Estate,Medium,Equipment Finance,Excellent,East
TAC001465,33.11,1972.06,0.1,,3.84,1.07,5.0,5.79,2,198.24,Healthcare,Medium,Term Loan,,South
TAC007876,1.0,425.68,162.49,4.87,6.96,1.13,,10.0,8,258.88,Retail,Micro,Working Capital,,South
TAC014992,6.42,452.57,301.83,4.91,7.27,0.67,2.0,4.09,3,63.11,Manufacturing,Small,Working Capital,Watchlist,South
TAC013376,34.79,1831.39,28.31,9.12,8.57,2.11,9.0,4.21,0,57.69,Manufacturing,Micro,Term Loan,Excellent,South
TAC008350,1.0,523.79,90.17,5.32,10.42,1.06,6.0,9.68,2,180.73,Services,Small,Equipment Finance,Satisfactory,East
TAC001131,10.67,902.26,101.03,4.35,8.32,1.31,5.0,8.59,1,106.12,Manufacturing,Micro,Project Finance,Good,West
TAC013920,25.08,3500.83,227.22,3.39,14.34,1.28,1.0,9.95,3,154.21,IT,Large,Project Finance,Good,West
TAC013598,1.0,301.57,95.48,5.87,7.03,0.96,8.0,7.18,2,183.56,Healthcare,Small,Term Loan,Good,East
TAC000016,23.2,3489.5,241.96,4.58,15.08,3.11,0.0,10.0,3,67.59,FMCG,Medium,CC/OD,Good,East
TAC003132,6.68,725.51,97.92,2.64,6.57,1.49,7.0,10.0,1,140.12,FMCG,Micro,Working Capital,Good,North
TAC000464,2.07,638.07,150.11,3.44,6.48,0.91,7.0,7.81,2,50.0,Real Estate,Small,Equipment Finance,Good,West
TAC008823,29.54,420.07,146.65,5.56,3.81,2.24,10.0,10.0,1,95.49,Services,Large,Working Capital,,Central
TAC000996,1.0,330.87,150.62,,3.86,3.42,9.0,10.0,2,197.42,Real Estate,Small,Term Loan,Excellent,South
TAC008526,1.0,302.82,154.71,,10.79,2.1,6.0,3.99,0,254.21,Manufacturing,Small,Working Capital,Excellent,West
TAC013765,1.0,736.22,319.31,3.73,5.5,0.32,,6.03,4,224.86,Healthcare,Small,CC/OD,NPA,North
TAC005666,23.27,731.74,344.89,5.16,6.71,1.15,2.0,3.63,8,231.14,Manufacturing,Small,Working Capital,Excellent,North
TAC008424,8.3,450.06,137.34,,13.02,2.39,9.0,8.32,3,96.95,Manufacturing,Medium,Term Loan,Satisfactory,West
TAC000571,17.02,3457.15,228.1,2.71,9.84,1.3,3.0,10.0,8,125.39,IT,Medium,Equipment Finance,Excellent,North
TAC013126,7.8,1.0,117.75,7.61,,1.5,7.0,7.63,1,160.31,Services,Small,Equipment Finance,Excellent,North
TAC010058,1.0,593.57,84.06,5.58,11.16,2.59,6.0,7.59,3,70.54,Manufacturing,Medium,CC/OD,Watchlist,South
TAC012185,26.1,3213.92,166.36,1.43,14.84,1.4,1.0,6.47,4,50.0,Services,Medium,Working Capital,Satisfactory,West
TAC004357,1.0,277.04,106.97,6.04,10.82,1.52,7.0,6.02,2,175.42,Services,Micro,Project Finance,Satisfactory,West
TAC016537,17.28,3142.3,240.15,7.37,,2.02,0.0,7.18,0,127.22,Retail,Medium,Term Loan,Good,South
TAC015080,1.0,932.7,55.98,,7.9,1.72,10.0,9.29,3,244.19,Real Estate,Small,CC/OD,Satisfactory,North
TAC006599,10.19,3262.13,215.71,,14.25,3.0,1.0,4.22,0,89.36,Infrastructure,Medium,Project Finance,Excellent,East
TAC010463,18.32,766.44,151.19,5.96,10.3,2.45,8.0,10.0,0,278.11,Infrastructure,Medium,Working Capital,Satisfactory,West
TAC001351,9.92,272.42,8.43,9.0,,2.63,,3.87,4,176.57,Retail,Medium,Project Finance,Good,West
TAC004120,26.17,158.83,300.6,5.9,4.62,1.88,1.0,2.66,7,184.83,Manufacturing,Large,Working Capital,,South
TAC005685,18.77,2117.83,69.57,8.77,4.59,1.1,8.0,4.48,3,77.07,Real Estate,Medium,Working Capital,Good,Central
TAC005831,17.88,2990.64,232.89,5.64,17.69,1.97,1.0,8.76,5,85.68,Services,Micro,Working Capital,Good,East
TAC012096,17.93,3482.46,264.03,7.08,16.15,2.94,0.0,7.41,3,60.14,IT,Small,Equipment Finance,Excellent,East
TAC014412,22.39,422.75,68.96,7.42,4.99,0.3,1.0,8.52,4,199.37,FMCG,Medium,Term Loan,Satisfactory,North
TAC003382,22.91,2168.94,2.65,6.69,9.15,0.89,5.0,2.18,6,89.65,Services,Medium,CC/OD,Good,West
TAC017585,16.83,535.29,328.74,3.4,4.32,0.45,3.0,2.05,4,300.0,Retail,Medium,Project Finance,Good,North
TAC013011,9.76,719.72,95.85,5.46,15.66,1.67,6.0,9.71,3,87.6,Retail,Small,Working Capital,Satisfactory,South
TAC010879,22.02,1024.49,101.78,4.86,13.45,2.44,9.0,9.77,0,68.52,Retail,Micro,Project Finance,Watchlist,West
TAC017670,4.55,116.66,60.56,6.8,9.87,0.84,12.0,9.81,2,126.0,Services,Small,Equipment Finance,Good,East
TAC008618,28.99,2307.07,22.65,9.43,3.28,1.33,7.0,7.39,2,132.01,Healthcare,Small,Working Capital,Good,South
TAC018379,1.0,703.76,94.82,6.15,9.84,2.63,,10.0,5,254.94,Services,Medium,Term Loan,,North
TAC010456,28.43,2021.01,0.7,7.08,9.98,1.2,5.0,6.97,3,145.26,IT,Large,Project Finance,Good,South
TAC010618,2.05,518.92,147.74,3.52,3.62,0.67,11.0,8.22,4,52.19,Healthcare,Small,Term Loan,Watchlist,West
TAC006423,2.5,650.23,114.73,,7.67,1.21,8.0,8.8,0,168.72,FMCG,Large,Equipment Finance,Good,West
TAC000519,4.79,620.08,83.34,4.32,8.08,1.15,,10.0,2,200.41,IT,Large,Term Loan,Satisfactory,North
TAC001765,1.38,508.8,154.42,5.15,8.52,1.72,12.0,5.82,1,232.17,Services,Medium,Working Capital,Good,North
TAC004167,40.0,1899.4,41.15,3.93,8.3,0.63,6.0,5.19,6,194.46,Retail,Small,Working Capital,Excellent,West
TAC004734,10.59,356.17,140.51,,10.93,1.44,12.0,10.0,4,285.1,Services,Medium,Term Loan,Excellent,South
TAC008160,25.36,2226.18,18.04,6.47,4.71,1.9,8.0,7.52,2,52.39,Real Estate,Large,Term Loan,Good,South
TAC005384,1.0,435.33,126.19,4.11,10.24,1.82,9.0,10.0,0,122.88,Real Estate,Medium,Equipment Finance,Good,Central
TAC005259,1.0,319.18,160.0,4.55,9.59,0.94,8.0,7.59,4,232.21,FMCG,Large,Project Finance,Excellent,North
TAC002160,10.3,472.62,79.51,2.76,8.79,1.75,6.0,10.0,0,142.58,Infrastructure,Medium,Project Finance,Excellent,North
TAC018290,28.16,3652.37,232.19,3.95,9.58,1.91,2.0,5.54,0,50.0,Services,Medium,Equipment Finance,Satisfactory,Central
TAC008256,1.0,812.17,108.38,5.15,6.42,1.55,12.0,10.0,2,211.09,Retail,Micro,CC/OD,Excellent,East
TAC002440,1.0,276.74,104.49,5.28,10.26,1.61,10.0,7.11,3,130.1,IT,Micro,CC/OD,Satisfactory,West
TAC003114,1.0,568.77,166.69,6.46,8.89,1.36,9.0,9.49,6,207.85,Retail,Medium,Term Loan,NPA,South
TAC016568,9.91,434.71,179.64,3.48,11.98,2.09,10.0,10.0,4,84.04,Manufacturing,Medium,Term Loan,Excellent,East
TAC001205,1.0,937.62,147.55,6.68,12.84,2.78,12.0,10.0,1,111.76,Real Estate,Large,Project Finance,,South
TAC018299,24.92,1752.93,0.1,6.66,5.97,1.38,5.0,4.28,2,50.0,Manufacturing,Micro,Working Capital,Satisfactory,Central
TAC004312,39.0,1942.65,8.46,5.93,8.72,0.42,9.0,9.86,5,132.56,Infrastructure,Micro,Term Loan,Watchlist,West
TAC006920,5.78,424.38,194.79,5.55,10.15,1.78,,10.0,6,120.51,Healthcare,Small,Equipment Finance,Watchlist,North
TAC003439,19.16,3372.35,202.95,5.06,15.18,0.59,0.0,9.24,5,54.76,Services,Small,Working Capital,Good,Central
TAC003740,19.48,1974.16,11.23,8.81,5.82,1.16,4.0,6.55,3,166.99,Healthcare,Medium,Equipment Finance,Excellent,West
TAC005319,21.51,3340.59,244.43,0.37,15.75,1.28,0.0,8.78,2,125.01,IT,Micro,Project Finance,Excellent,East
TAC007840,11.46,3340.41,279.2,2.88,17.22,1.86,5.0,7.37,0,100.63,Retail,Small,Term Loan,,West
TAC015063,12.45,3674.5,204.57,5.61,,2.25,1.0,7.0,1,64.1,Manufacturing,Small,Term Loan,Excellent,South
TAC004068,7.8,601.48,137.34,4.23,8.84,1.87,7.0,7.62,3,129.86,Manufacturing,Small,Working Capital,Good,West
TAC000770,12.54,305.7,114.37,2.14,13.12,1.01,,6.96,4,172.64,Manufacturing,Small,Term Loan,Satisfactory,South
TAC013944,18.25,353.22,338.09,6.31,3.19,0.96,3.0,3.19,8,253.6,Infrastructure,Small,Working Capital,Watchlist,West
TAC004687,6.99,3565.92,247.51,3.38,9.17,3.06,2.0,7.43,2,125.04,Retail,Small,Project Finance,Watchlist,West
TAC000415,5.23,180.8,122.36,4.47,13.99,1.32,7.0,10.0,4,169.13,IT,Micro,Term Loan,Satisfactory,North
TAC014364,4.96,3507.83,251.93,2.22,,1.38,1.0,7.0,2,50.0,Services,Medium,Term Loan,Excellent,West
TAC011295,5.43,868.39,92.59,5.53,,1.56,10.0,10.0,5,207.12,Services,Large,Working Capital,Excellent,North
TAC014858,1.0,538.77,64.89,5.52,8.7,1.27,5.0,9.94,5,184.9,Manufacturing,Medium,Term Loan,NPA,East
TAC009329,18.17,3205.05,209.13,5.77,10.67,3.34,2.0,8.43,2,74.73,Healthcare,Small,Working Capital,Watchlist,Central
TAC005288,40.0,162.08,37.29,8.19,0.5,0.64,1.0,2.97,4,82.75,Manufacturing,Small,Term Loan,NPA,West
TAC010069,14.03,331.37,52.59,8.27,4.77,0.3,1.0,5.18,0,99.2,IT,Micro,Term Loan,Satisfactory,South
TAC001608,33.73,2241.48,16.52,7.3,5.43,0.3,7.0,5.65,5,206.65,Healthcare,Micro,Working Capital,Good,North
TAC002370,33.54,2001.82,59.31,9.06,6.89,1.09,4.0,2.46,2,67.24,Services,Large,Working Capital,Excellent,East
TAC005656,22.22,2830.36,225.15,3.69,,1.26,0.0,10.0,0,133.44,Real Estate,Medium,Term Loan,Excellent,North
TAC017921,5.83,379.24,100.85,6.14,3.08,0.39,11.0,8.76,1,143.59,Manufacturing,Medium,Equipment Finance,Good,South
TAC017356,34.1,3633.28,297.13,1.06,15.81,2.09,0.0,9.93,3,50.0,Real Estate,Micro,Working Capital,Satisfactory,North
TAC010813,11.28,3372.87,277.55,7.47,16.14,1.32,2.0,8.8,2,50.0,Retail,Medium,Working Capital,Excellent,South
TAC006183,28.91,3386.29,217.81,5.47,14.82,1.59,1.0,7.49,5,50.0,Real Estate,Micro,Term Loan,NPA,East
TAC000303,10.33,434.55,129.29,3.83,8.36,3.4,11.0,9.48,1,206.18,Real Estate,Micro,Term Loan,Good,South
TAC018335,25.91,3608.89,255.12,5.5,10.47,2.01,2.0,8.69,3,167.55,Manufacturing,Medium,Equipment Finance,Excellent,Central
TAC013036,30.1,3645.28,225.82,3.62,8.51,1.94,1.0,4.77,1,102.61,Manufacturing,Small,Working Capital,Good,South
TAC012900,7.02,499.38,99.2,4.1,2.96,1.03,5.0,8.61,1,226.23,Real Estate,Medium,Project Finance,Watchlist,North
TAC007517,1.0,443.86,149.27,5.64,13.0,2.66,7.0,7.4,2,211.04,Real Estate,Small,Working Capital,Excellent,East
TAC000176,20.53,686.51,95.07,,0.5,1.39,2.0,5.5,2,72.43,Healthcare,Medium,Working Capital,Satisfactory,Central
TAC015790,9.06,523.0,139.43,4.33,11.69,2.69,8.0,10.0,0,208.25,Services,Large,Working Capital,,East
TAC014723,20.54,668.7,278.27,4.78,4.05,0.75,3.0,5.03,4,160.58,Manufacturing,Small,Project Finance,Good,South
TAC000501,1.0,244.77,137.98,6.61,7.52,1.06,12.0,8.55,4,278.85,Services,Medium,Equipment Finance,Good,South
TAC002217,6.14,3366.54,234.75,4.04,18.24,2.97,4.0,6.94,1,69.88,Services,Micro,Equipment Finance,Satisfactory,South
TAC015913,1.0,193.5,119.4,4.99,15.02,2.37,9.0,9.34,4,133.68,Manufacturing,Small,Equipment Finance,Good,West
TAC012265,5.97,689.7,154.3,5.23,9.64,0.95,10.0,10.0,0,61.12,Manufacturing,Small,Project Finance,Excellent,South
TAC003279,11.05,372.94,204.2,6.13,11.72,2.14,8.0,8.96,5,183.6,Manufacturing,Medium,Working Capital,Good,East
